name,salary,employment_type,company_name,text,uid 
 Data Analyst (in the USA) ,380 000 - 630 000 ₽ /на руки, США , S&P Global,"About Us Panjiva is a data-driven technology company that uses machine learning to extract insights from global trade data. Our technology and expertise allow us to extract and link these entities from our database of billions of individual records. This data feeds the Panjiva platform, through which we provide powerful search, analysis, and visualization capabilities to our customers. S&P Global's Market Intelligence division acquired Panjiva in 2018. Responsibilities Generate well-researched analyses based on shipment-level data, and develop expertise in countries and/or sectors served by Panjiva. Demonstrate subject matter expertise through data extraction and manipulation, dashboarding, visualization, and analytical/statistical/data mining techniques. Propose and conduct independent research projects within a well-defined geographic and/or topical scope. Evaluate new data leads for their synergy with Panjiva’s existing corpus, utility in ongoing research, or application in developing new technologies. Collaborate closely with data scientists, engineers, and researchers to improve Panjiva’s data-driven, machine learning technologies and create prototypes of new data tools. Deliver evidence-based findings through written reports and presentations to senior executives and enterprise clients. Basic Qualifications Bachelor’s degree in an analytical field (or equivalent) with 3+ years of hands-on experience analyzing datasets in SQL and/or Python. Excellent written and verbal and communication skills with demonstrated ability to conduct both qualitative and quantitative research. Candidates must be critical thinkers, resourceful problem-solvers, and detail-oriented under pressure. Curiosity, reliability, and a sense of humor are all preferred. Preferred Education/Experience International relations and economics. Foreign language skills (esp. Russian). Maritime domain knowledge. Military or commercial logistics. Primary and open source research. S&P Global states that the anticipated base salary range for this position is $80,300 to $130,000. Base salary ranges may vary by geographic location. To directly respond to a job through Linkedin, you need a VPN ",41805
 Senior FP&A Analyst ,от 350 000 ₽ /на руки, Удалённо , Oyster,"About Us Oyster привлекли $150 млн. при оценке более $1 млрд. долларов. Oyster — это ориентированная на миссию глобальная платформа по трудоустройству, которая помогает компаниям платить, нанимать и заботиться о товарищах по команде независимо от их местоположения. Миссия компании – создание равных для всех путем создания возможности трудоустройства везде. Это дает возможность компаниям нанимать везде с совместимой и надежной заработной платой и большими преимуществами и привилегиями. What you'll do Collaborate with FP&A and business leaders on company-wide strategic planning processes. Understand key SaaS metrics/benchmarks and adept at adapting these to the Oyster business model. Work with business intelligence and planning tools to enable efficient financial modelling and drive data-driven decision making. Aid implementation, operationalizing and ongoing development of planning tools/processes. Analyzing financial and operational results to better understand company performance, and identify opportunities. Build relationships across the organization and become a trusted partner to our functional leaders. Communicating complex problems and analysis teams to non technical teams. Benchmark our financials, set realistic targets based on a strong understanding of our business, and drive the company toward improved financial performance. What we're looking for 2+ years of experience in FP&A, Strategic/Business finance, or management consulting, ideally with knowledge of a high-growth SaaS environment. Understanding of key SaaS metrics and benchmarks. Ability to produce analysis which aids decision support. Comfortable working within a BI Solution (Oyster uses Looker) to manipulate data to support analysis which drives insights. Experience with operational and financial planning software (Oyster is currently evaluating options). Understanding of go to market processes and ratios. Respected thought leader to business leaders, helping decision making. Ability to model operational business impacts on Income statement, balance sheet and cashflow. Ability to thrive in a high-growth distributed environment. You'll also need A reliable home internet connection (or be able to get one). Fluent English language skills. We offer Work from anywhere: Oyster is a borderless, HQ-less company. As long as your work gets done on time, your team has the support they need, and you're authorized to work where you live, the world is truly your Oyster. Paid time off: We’re all about taking breaks—we all need it. Oyster provides employees with 40 days off each year, which includes public/bank holidays and vacation/holiday leave (unless your country mandates more). Mental health support: We consider your mental health a top priority. We offer access to Plumm, a mental well-being service, to support your mental health. Wellbeing allowance: Each month, Oyster will top up your Juno wallet with a wellbeing allowance. Juno Points can be applied to anything that helps you show up to work as your best self, whether that’s your internet bill, a class, gym membership, or houseplants. The choices are endless! Flexible parental leave: Families are created in lots of different ways. Our parental leave policy applies to all employees who are becoming parents, regardless of how they become a parent. Oysters are eligible for a minimum of three months of paid parental leave and your job will be held for 12 months (or longer if required by local jurisdiction). WFH stipend: We give you a laptop and $1500 for equipment so you can have your remote office up and running in no time. Check out Equipment at Oyster for more details. ",41801
 Middle/Senior Data Scientist ,150 000 - 205 000 ₽ /на руки," Москва, Удалённо ", App in the Air,"Кто мы: Приложение App in the Air (AITA) — персональный ассистент полетов, который информирует пользователей о состоянии рейса, собирает статистику путешествий и помогает ориентироваться в аэропортах Thoth — родственная компания App in the Air, которая обрабатывает данные об индивидуальной истории полётов разными авиалиниями от 6 миллионов пользователей по всему миру и строит детализированные модели пассажиров С их помощью мы рассчитываем динамику авиаперевозок и предлагаем крупнейшим авиалиниям и аэропортам стратегии оптимизации Стек: Python3.x PyCharm , Jupyter Notebooks Git, Atlassian (Jira, Confluence), Miro, Telegram GCP, AWS Задачи: Анализ данных и исследование тревел-индустрии Автоматизация data- and ML- пайплайнов Генерирование новых идей, разработка фичей на вход предсказательным моделям Внедрение ML в продукты Ревью кода коллег Требования: Python3 - опыт работы 2+ лет SQL - делать запросы в различные БД Обладать хорошим мат. аппаратом (тервер, статы, линал, временные ряды) Знание git, Github Уверенная работа с unix-консолью Умение читать и писать документацию на английском Плюсом будет: Опыт работы с Google Cloud Platform (Datastore, Firebase, BigQuery…) Опыт работы с Docker Опыт работы с Kubernetes Опыт работы с AWS Опыт работы с RESTful API Опыт работы с DVC Опыт разработки аналитического дэшборда Опыт презентации своих результатов Уверенное владение английским Условия: Материальные блага: Гибкий график, full-time удаленка; Свой офис на Новокузнецкой (ещё два в Сиэттле и Вене); Кэшбэк на путешествия, забронированные через App in the Air; Раз в полгода проводим All-Hands встречи российской и американской команд в разных частях света (Гонг-Конг, Тбилиси, Стамбул - done, в сентябре были на Кипре); Трудоустройство в американскую компанию. Нематериальные блага: Менторство от опытных наставников Прозрачная система развития и возможность карьерного роста Совместное участие в хакатонах (неоднократно побеждали в хакатонах в США и Европе + организуем внутри команды) Классный продукт: мы помогаем и объединяем frequent flyers по всему миру Свобода создавать и экспериментировать: мы не боимся пробовать новое и поддерживаем идеи Классная команда: мы помогаем друг другу расти, проводим лекции и воркшопы, учимся и учим Экспертиза: можно получить уникальные знания о тревел-индустрии ",41799
 Бизнес-аналитик (бизнес-юнит медиастратегии) ,от 130 000 ₽ /на руки, Москва , VK,"Задачи: анализ рынка, анализ конкурентов, построение гипотез, расчет модели возвратных инвестиций, аналитика публичных компаний; помощь бизнесу в финансовом моделировании и анализе фактических результатов; подготовка качественных аналитических презентаций и заметок по итогам проведенного анализа; помощь и координация в решениях финансовых вопросов бизнес-юнита; анализ финансово-продуктовых показателей, построение трендов развития, прогнозных моделей. Требования: опыт работы в аудиторских международных компаниях или на релевантной должности в ИТ, телеком; знание английского языка не ниже upper-intermediate; продвинутые навыки структурирования проблем, моделирования в Excel, презентации идеи и исследований в PowerPoint, работа с дашбордами; отличные навыки межличностного общения и убеждения, умение работать в команде, способность быстро разбираться в новых рынках и задачах; умение эффективно работать в условиях неполной информации и дедлайнов. ",41796
 Junior/Middle Analyst ,70 000 - 130 000 ₽ /на руки," Москва, Удалённо ", App in the Air,"Кто мы: Приложение App in the Air (AITA) — персональный ассистент полетов, который информирует пользователей о состоянии рейса, собирает статистику путешествий и помогает ориентироваться в аэропортах Thoth — родственная компания App in the Air, которая обрабатывает данные об индивидуальной истории полётов разными авиалиниями от 6 миллионов пользователей по всему миру и строит детализированные модели пассажиров С их помощью мы рассчитываем динамику авиаперевозок и предлагаем крупнейшим авиалиниям и аэропортам стратегии оптимизации Стек Python3.x PyCharm , Jupyter Notebooks Git, Atlassian (Jira, Confluence), Miro, Telegram GCP, AWS Задачи: Описательная аналитика — исследование рынка авиаперевозок Создание дэшбордов с ключевыми метриками Генерирование новых идей, разработка фичей на вход предсказательным моделям Разработка системы поиска аномалий в данных и валидации данных Требования: Python3 - есть опыт работы SQL - делать запросы в различные БД Обладать хорошим мат. аппаратом (тервер, статы, линал, временные ряды) Знание git, Github Уверенная работа с unix-консолью Умение читать и писать документацию на английском Плюсом будет: Опыт разработки аналитического дэшборда Опыт презентации своих результатов Уверенное владение английским Условия: Материальные блага: Гибкий график, full-time удаленка; Свой офис на Новокузнецкой (ещё два в Сиэттле и Вене); Кэшбэк на путешествия, забронированные через App in the Air; Раз в полгода проводим All-Hands встречи российской и американской команд в разных частях света (Гонг-Конг, Тбилиси, Стамбул - done, в сентябре были на Кипре); Трудоустройство в американскую компанию. Нематериальные блага: Менторство от опытных наставников Прозрачная система развития и возможность карьерного роста Совместное участие в хакатонах (неоднократно побеждали в хакатонах в США и Европе + организуем внутри команды) Классный продукт: мы помогаем и объединяем frequent flyers по всему миру Свобода создавать и экспериментировать: мы не боимся пробовать новое и поддерживаем идеи Классная команда: мы помогаем друг другу расти, проводим лекции и воркшопы, учимся и учим Экспертиза: можно получить уникальные знания о тревел-индустрии ",41794
" Data Analyst, Marketing (in the USA) ",от 260 000 ₽ /на руки," США, Удалённо ", Clari,"О компании: Clari — стартап, который предоставляет компаниям данные о доходах в режиме реального времени и информацию на основе ИИ, в январе закрыл финансирование серии F на сумму $225 млн. с Blackstone Growth. Сделка оценила Clari в $2,6 млрд, что на 400% больше всего за два года Responsibilities Proactively explore data and find opportunities to help accelerate pipeline generation and revenue through marketing levers In-depth knowledge of marketing attribution modeling and the ability to recommend frameworks based on historical performance and insights Expert understanding of Salesforce data structure; object relationships, field types, report types, etc. Familiar with the key metrics and inputs into ad performance and measurement. Experience working with top-of-funnel data as it relates to paid channels such as search or display Lead cross-functional projects using advanced data modeling and analysis techniques to discover insights that will guide strategic decisions and uncover opportunities for optimization Past experience collaborating with dotted line departments such as finance and sales ops Drive end-to-end analytics workflow, including defining success, generating insights and hypotheses, and performance metrics, socializing them across the organization, creating impactful dashboards and reports, and developing scalable analytics solutions and data models Qualifications 2+ years of experience in an analytically-driven role (analytics, consulting, finance, etc.) Strong working knowledge of SFDC and Tableau Practical and theoretical knowledge of A/B testing Experience analyzing marketing effectiveness across various media and channels such as programmatic, paid social, email, website, SEO, etc. Strong interpersonal skills and ability to work cross-functionally Ability to think creatively and critically and thrive in a fast-paced, dynamic, and often ambiguous work environment Ability to communicate and influence both technical and non-technical audiences Benefits and Culture Team-bonding activities and company-wide events Flexible working hours and remote opportunities Internet, phone, and wellness reimbursements Paid maternity and paternity leave Fertility support 401(k) and college savings plan Pre-IPO stock options ",41764
 Системный аналитик ,от 220 000 ₽ /на руки," Москва, Удалённо ", Right line,"Требования: Имеете опыт работы с платежными системами: 3D Secure; E-commerce; платежный шлюз Имеете опыт написания документов Работали с БД Работали с нотациями BPMN,UML Умеете работать в команде и используете (Jira, Confluence) Чем предстоит заниматься: Разработкой и согласованием технических заданий Оценкой трудоемкости поступающих задач в области аналитики Формализацией требований заказчиков и участие в проектировании решений для их реализации Участием в процессе приемки результатов и презентации их заказчику Участием в интеграционных и миграционных проектах Мы предлагаем: Оформление в штат с первого дня, все официально по ТК Размер заработной платы зависит от вашего профессионального уровня Премии по итогам квартала и года Гарантированный профессиональный рост ДМС, корп. риэлтор (для решения жилищного вопроса) офис м. Нагатинская, график 5/2, с 10-19 (гибридный/ дистанционный формат работы) ",41729
 Разработчик BigData / Развитие SmartData ,от 130 000 ₽ /на руки," Москва, Удалённо ", HOME CREDIT BANK,"Задачи: Развитие и поддержка решения SmartData на базе Hadoop Подготовка технических и архитектурных предложений для реализации бизнес-задач Проведение code-review, автотестирование Выполнение роли наставника для новых сотрудников отдела Требования: Опыт работы с экосистемой Hadoop + Spark - не менее 2-х лет Участие в проектах с онлайн потоковой аналитикой с большим количеством источников Участие в проектировании архитектуры Big Data решений Знание потоковых ETL-средств, опыт реального применения в проектах Знание SQL и опыт оптимизации запросов на какой-либо СУБД Знание Java/Scala на высоком уровне Знание Python (желательно) Знание CI/CD инструментов (Git, Jenkins) Наличие сертификатов в области Big Data как преимущество Мы предлагаем: Фиксированный оклад + система премирования; Социальный пакет; Офис: м. Белорусская; Гибридный или удаленный формат работы; Команда, открытая самым смелым идеям; Внутренние программы обучения и развития; Высокий уровень ответственности и возможность самостоятельно принимать решения; Атмосфера, где легко оставаться собой: минимум формализма, открытые коммуникации и отсутствие дресс-кода. ",41731
 Системный аналитик (Corporate Cards) ,от 130 000 ₽ /на руки," Москва, Удалённо ", Райффайзенбанк,"Чем предстоит заниматься: собирать, анализировать и документировать требования и объяснять их команде; формировать видение по доработке систем и построению интеграций со смежными системами; взаимодействовать с клиентами: оказывать поддержку пользователям системы, принимать участие в тестировании; участвовать в формировании бэклога команды: участвовать в планировании бизнес-задач, предлагать свои идеи по улучшению продукта; работать в продуктовой команде для развития финансовых сервисов Raif Pay в блоке корпоративного бизнеса. Ожидаемая экспертиза: понимание основных принципов, подходов к построению архитектуры корпоративных приложений; понимание и опыт проектирования различного рода интеграционных решений; умение быстро разбираться в сложных программных продуктах и в новой предметной области; навыки работы с базами данных на уровне написания SQL-запросов; развитые коммуникативные и аналитические навыков, самостоятельность и инициативность, умение структурно и четко излагать свои мысли, стремление к t-shaped.Будет являться плюсом: опыт работы в карточном процессинге или процессинге СБП, понимание протоколов ISO-8583/ISO-20022; опыт формализации бизнес-процессов; опыт проектирования REST запросов; опыт работы с PostgreSQL, ELK, умение читать код Java; опыт работы с Jira/Confluence; опыт работы в Agile-командах. Мы предлагаем: возможность работать удаленно или в комфортном офисе на метро Технопарк; корпоративные льготы: ДМС с первого рабочего дня, скидки на банковские продукты, а также услуги и товары от компаний-партнеров; развитие: оплачиваем профессиональные тренинги и образовательные курсы, отправляем на конференции, а также проводим внутрибанковские митапы с приглашёнными экспертами; влияние на конечный результат и понимание бизнес-логики продуктов. ",41722
 Менеджер по исследованию рынка ,от 130 000 ₽ /на руки, Москва , Simple,"Обязанности: Информационная поддержка руководителей каналов и категорий, а также руководителей Компании. Подготовка и предоставление регулярной и ad hoc-отчётности. Аналитика в разрезе Категорий/Брендов/SKU; аналитика клиентской базы и дистрибьюции; аналитика в разрезе каналов продаж, регионов, клиентов, их цен и ассортимента; план-факт анализ. Обработка внешних источников данных (ТБД, Ритейл и прочее) и подготовка отчётов/презентаций на основе внешних данных. Регулярный мониторинг макроэкономических показателей. Полный цикл проведения маркетинговых исследований (определение потребности, выбор инструментария и подрядчика, контроль проведения работ, презентация результатов). Требования: Высшее образование (предпочтительно в области экономики, статистики, финансового анализа). Опыт аналогичной работы от 3 лет, желательно на рынке премиум продуктов/ алкоголя/ FMCG. Высокая компьютерная грамотность (все основные приложения: PowerPoint, Excel), в том числе умение работать с базами данных. Опыт работы с исследовательскими агентствами, умение правильно составить бриф на основе ТЗ от внутреннего заказчика подрядчику. Опыт работы с информационными базами данных, умение формировать отчёты по запросам внутренних заказчиков. Уровень владения английским языком не ниже Upper-Intermediate. Структурное мышление и умение работать с разными брифами, анализировать задачи и предлагать решения. Условия: Уровень заработной платы обсуждается с успешным кандидатом. Программа ДМС (большой выбор клиник, стоматологическая помощь, госпитализация, полис для выезда за рубеж). Компенсация мобильной связи, корпоративные скидки на продукцию компании, многочисленные партнерские программы. Оплата больничных в полном размере. Фитнес в офисе – разнообразная программа занятий (йога, пилатес, цигун). Корпоративная футбольная и волейбольная команды. Новый современный офис категории А. Развитая корпоративная культура. ",41717
 Бизнес-аналитик (Дропшиппинг) ,от 130 000 ₽ /на руки," Москва, Удалённо ", Комус,"Чем предстоит заниматься: Управление развитием бизнес-процессов (описание как есть, оптимизация, автоматизация) Анализ отчетности, проблемных кейсов, обратной связи от партнеров, формирование мероприятий по устранению Реализация изменений в процессах, системах (Выявление и анализ проблемных / требующих корректировки / новых участков в сквозных межплатформенных бизнес-процессах по смежным объектам, подготовка и реализация изменений для повышения их эффективности Написание технических заданий, БФТ, инструкций, регламентов (Анализ и консолидация запросов на изменения, их детальная проработка, формализованное описание предложений/требований с целью оптимизации использования ресурсов и выработки универсальных решений Взаимодействие с бизнес-заказчиками, владельцами продуктов (бизнес-, технологическими); специалистами IT-подразделений Обучение внутренних пользователей и участников процессов Организация тестирования новых процессов/ изменений в системах Пожелания к опыту: Опыт работы бизнес-аналитиком от 2-х лет, желательно в индустрии: ритейл, e-commerce, маркетплейсы, логистика входящих поставок, закупки Опыт анализа существующих бизнес-процессов и построения целевых схем процессов Опыт написания бизнес и функциональных требований, регламентов и инструкций для пользователей Участие в проектах по оптимизации или автоматизации процессов Опыт описания процессов в любой нотации и любом инструментарии будет преимуществом Желательно хорошее понимание процессов: торговля и ритейл, e-commerce, категорийный менеджмент, управление поставками, логистика Хорошие презентационные навыки Системное мышление, умение обосновать предлагаемое решение или выбор из имеющихся решений Знание продуктов Atlassian – Jira, Confluence Условия:​​​​​​​ Работу в крупном e-commerce Официальное трудоустройство в штат Стабильные выплаты заработной платы и премии Большой современный офис рядом с метро Авиамоторная, БЦ ""Интеграл"" График работы: 5/2, 09.00 - 18.00, гибридный формат работы, индивидуально готовы обсудить полностью удалённый формат работы ДМС на льготных условиям Возможности карьерного развития, программа ""Таланты"" Корпоративное обучение и курсы для повышения квалификации и освоения новых инструментов Отдельная программа лояльности на приобретение товаров для сотрудников компании Корпоративная скидка на изучение иностранных языков Льготное корпоративное кредитование сотрудников Скидки на досуговые мероприятия, организация отдыха и досуга, мероприятия для детей, конкурсы с ценными призами Корпоративный спорт: настольный теннис, футбол, волейбол, танцы Посещение фитнес-клуба и туристические поездки на выгодных условиях Корпоративная мобильная связь ",41716
 Продуктовый аналитик (омни) ,от 87 000 ₽ /на руки, Москва , Спортмастер,"Чем нужно заниматься: Формулировкой критерий успеха продукта совместно с продуктовой командой и выбором конкретных KPI для отслеживания результата. Сбором данных продуктовых метрик и встраиванием их в регулярную отчетность совместно с IT. Формулировкой бизнес выводов и презентацией результатов своей работы продуктовой команде и руководству. Расчетом целевой и фактической эффективности бизнес моделей по новым продуктам, участвовать в принятии data driven решений об их запуске (экономическое моделирование, P&L, окупаемость). Команда ждет от тебя: Опыт работы в качестве аналитика в продуктовых командах. Опыт работы с аналитическими инструментами Business intelligence (OLAP \ MOLAP \ ROLAP кубы), Tableau или аналоги (QlikView, Power BI, Oracle BI, Think-cell, Microstrategy, SAP BI, SAS BI, COGNOS) Высшее образование (техническое / экономическое) MS Office - уверенный пользователь Excel (формулы, сводные таблицы, графики для качественных презентаций) Плюсом будет: Знание инструментов project и time менеджмента (умение вести список аналитических задач, расставлять приоритеты на основе продуктового бэклога), автономность, инициативность. Базовые знания математической статистики. Мы предлагаем: Работа в компании - лидере спортивного рынка. Решение задач в самом динамичном развивающемся направлении бизнеса- омниканальности. Возможность влиять на продукт и бизнес. Оплата посещения профильных курсов и конференций. Свободу действий. Предлагайте, что и как делать. И делайте. Полное соблюдение ТК. Офис в районе м. Аэропорт. Скидки на продукцию Компании. Отдельные предложения от партнеров Компании (ДМС, связь, корп. врач, юр. Консультации, скидки на спорт. мероприятия). Возможность выбрать удобный график работы. ",41715
 Middle Data Scientist (Computer Vision) ,от 145 000 ₽ /на руки, Удалённо ,,"Некоторые наши проекты: Системы видеоинспекции- поверхности металлопроката, которые обеспечивают определение и классификацию дефектов с помощью видеокамер, машинного зрения и нейросетей; Системы измерения геометрических параметров и формы продукции с помощью лазерных триангуляционных датчиков позволяют измерять длину, ширину и толщину продукции, её планшетность и серповидность либо комплекс параметров; Датчики промышленного интернета вещей, с помощью которых можно предотвратить травмирование продукции при погрузочноразгрузочных работах. В твои обязанности будет входить: Участвовать в анализе и проработке бизнес требований; Контролировать техническую сторону процесса разметки изображений внешними и внутренними ресурсами; Обучать CV модели (object detection, object tracking, object classification, segmentation); Доводить свой рисерч моделей до состояния MVP и вносить доработки по результатам пилотирования; Выводить решения в продакшн, поэтому помимо тренировок сеток специалист будет заниматься следующими задачами:· выбирать оптимальный дизайн решения для задачи· проводить trade-off между качеством и скоростью· оптимизировать работу алгоритмов в зависимости от условий работы (on edge, прунинг, квантизация) Тестировать в наших задачах SOTA решения и прикручивать их в прод, где это осмысленно; В ситуациях, где данных для обучения классических моделей недостаточно, находить нестандартные решения. Основные требования: Хорошие знания Python и умение писать на нем качественный и понятный код; Классический ML - кластеризация, классификация, регрессия и тд. Стек sklearn, numpy, pandas, xgboost/lightgbm; Знания методов математической статистики и теории вероятностей. Знание базовых алгоритмов машинного обучения, хорошее понимание основ DL; Теоретические знания методов DL и оптимизации (основные концепты + более углублённые знания в CV с упором на детекцию и сегментацию + основные метрики в задачах CV); Знание хотя бы одного из фреймворков по глубокому обучению TensorFlow\PyTorch; Хорошее понимание основ классического компьютерного зрения (базовые морфологические операции, Discrete Fourier Transform, Hough transforms, Sobel derivatives); Опыт работы с задачами object detection, segmentation, classification; Опыт работы с OpenCV; Опыт автоматизированного сбора и разметки данных, опыт работы с CVAT; Умение читать, понимать, имплементировать статьи по компьютерному зрению; Умение решать задачи по CV без больших данных. Будет плюсом: Опыт работы с Linux; Знание Docker, Docker Compose; Опыт работы с разными видами сенсоров в области машинного зрения (камеры, радары, лидары и т.д.); Знакомство с GANами, attention-механизмами, архитектурами типа encoder-decoder, знакомство с semi- и unsupervised learning, знания в области NLP, а также опыт реализации кастомных архитектур; Огромным плюсом будут навыки в оптимизации скорости инференса DL-моделей с кастомной архитектурой на CPU и GPU, а также опыт работы с TorchScript, TensorRT, ONNX, конвертацией моделей между фреймворками, etc.; Опыт разработки и деплоймента DL-проектов; Знание английского на уровне, достаточном для комфортного чтения статей и блогов; Профиль на kaggle (необязательно). Мы предлагаем: Мощную команду профессионалов; Дополнительную мотивацию в виде годового бонуса, социальный пакет и скидки от партнеров; Развитие нон-стоп. Мы вкладываемся в людей как в самое дорогое. Создаем авторские учебные курсы. Привлекаем внешних экспертов и наставников. Гарантии стабильности. Трудоустраиваем по ТК РФ. Зарплата выплачивается 2 раза в месяц и регулярно индексируется. Есть ДМС со стоматологией с первого рабочего дня. Работаем по бессрочному договору. Возможность работы удаленно или в г. Череповце. ",41713
 Системный аналитик ,от 130 000 ₽ /на руки," Москва, Санкт-Петербург, Удалённо ", СберОбразование,"Обязанности: Разработка системных требований, модели предметной области, прототипов интерфейсов, описания публичных API и протоколов; Систематизация технических требований к разрабатываемым модулям платформы; Составление документации к разрабатываемым модулям; Участие во встречах по архитектуре платформы, консультация участников проектной команды по вопросам требований к ПО; Участие в приемке результатов работы. Требования: Ранее работал в продуктовых командах в Agile-проектах; Знал основные виды требования к ПО, особенности их выявления и описания; Понимал принципы построения высоконагруженных и высокодоступных систем; Владел объектно-ориентированным моделированием; Имел опыт работы Rest/SOAP/XML/XSD и написания SQL-запросов; Знал одну или несколько специализированных нотаций (UML, BPMN, EPC, IDEF и т.п.). Условия: ​​​​​​​Оформление по ТК РФ; Годовая премия по результатам работы; Ежегодная индексация и индивидуальный пересмотр зарплаты; ДМС с первой недели работы, включая стоматологические услуги и возможность застраховать родственников; Поддержка при заболевании Covid-19; Доступ к возможностям обучения в Виртуальной школе Сбербанка и к платформе O’reilly, а также бюджет на дополнительное обучение; Гибкое начало рабочего дня; Офис в Москве, коворкинг в Санкт-Петербурге, возможность работать удаленно. ",41712
